epoch,mean_ops,median_ops
0,2.5058,2.0
100,6.4259,2.0
200,13.5845,5.0
300,22.9621,12.0
400,29.0245,21.0
500,27.6257,22.0
600,24.2367,20.0
700,21.3184,17.0
800,19.2803,15.0
900,17.8823,14.0
1000,17.1090,13.0
1100,16.5496,13.0
1200,16.0090,12.0
1300,15.6784,12.0
1400,15.6463,12.0
1500,15.4458,12.0
1600,15.2485,12.0
1700,15.3853,12.0
1800,15.5129,12.0
1900,15.5555,12.0
2000,15.4870,12.0
2100,15.4394,12.0
2200,15.7456,12.0
2300,15.7168,12.0
2400,15.8245,12.0
2500,15.7665,12.0
2600,15.8844,12.0
2700,15.8563,12.0
2800,15.9113,12.0
2900,15.9296,12.0
3000,15.8424,12.0
3100,15.9510,12.0
3200,15.9520,12.0
3300,15.9620,12.0
3400,15.8347,12.0
3500,15.7704,12.0
3600,15.7475,12.0
3700,15.6958,12.0
3800,15.5673,12.0
3900,15.6639,12.0
4000,15.5716,12.0
4100,15.7389,12.0
4200,15.8266,12.0
4300,15.7455,12.0
4400,15.7244,12.0
4500,15.7309,12.0
4600,15.6987,12.0
4700,15.6960,12.0
4800,15.8070,12.0
4900,15.9047,12.0
5000,15.8036,12.0
5100,15.8320,12.0
5200,15.9720,12.0
5300,16.0193,12.0
5400,16.1686,12.0
5500,15.8710,12.0
5600,15.8823,12.0
5700,15.9710,12.0
5800,15.9108,12.0
5900,15.9687,12.0
6000,15.8325,12.0
6100,15.7695,12.0
6200,15.7535,12.0
6300,15.7131,12.0
6400,15.6718,12.0
6500,15.7735,12.0
6600,15.7228,12.0
6700,15.8193,12.0
6800,15.8826,12.0
6900,16.0518,12.0
7000,15.9432,12.0
7100,15.8635,12.0
7200,15.9741,12.0
7300,15.9923,12.0
7400,15.8896,12.0
7500,15.7872,12.0
7600,15.8044,12.0
7700,15.8170,12.0
7800,15.7805,12.0
7900,15.8170,12.0
8000,15.7682,12.0
8100,15.7462,12.0
8200,15.6757,12.0
8300,15.6909,12.0
8400,15.7418,12.0
8500,15.6595,12.0
8600,15.7893,12.0
8700,15.7989,12.0
8800,15.7363,12.0
8900,15.6691,12.0
9000,15.4665,12.0
9100,15.5421,12.0
9200,15.4514,12.0
9300,15.4681,12.0
9400,15.6644,12.0
9500,15.7786,12.0
9600,15.7038,12.0
9700,15.6932,12.0
9800,15.6343,12.0
9900,15.6726,12.0
10000,15.6908,12.0
10100,15.7205,12.0
10200,15.7912,12.0
10300,15.7358,12.0
10400,15.6635,12.0
10500,15.7456,12.0
10600,15.6873,12.0
10700,15.5687,12.0
10800,15.7472,12.0
10900,15.6750,12.0
11000,15.6477,12.0
11100,15.6426,12.0
11200,15.6372,12.0
11300,15.8465,12.0
11400,15.8960,12.0
11500,15.9257,12.0
11600,15.9770,12.0
11700,15.9733,12.0
11800,15.8947,12.0
11900,15.9301,12.0
12000,15.7901,12.0
12100,15.6775,12.0
12200,15.7096,12.0
12300,15.7203,12.0
12400,15.6812,12.0
12500,15.6875,12.0
12600,15.6508,12.0
12700,15.5945,12.0
12800,15.7937,12.0
12900,15.6651,12.0
13000,15.7645,12.0
13100,15.6928,12.0
13200,15.5768,12.0
13300,15.6767,12.0
13400,15.5403,12.0
13500,15.4611,12.0
13600,15.4633,12.0
13700,15.6725,12.0
13800,15.6826,12.0
13900,15.6267,12.0
14000,15.6460,12.0
14100,15.6609,12.0
14200,15.6438,12.0
14300,15.7747,12.0
14400,15.5919,12.0
14500,15.5758,12.0
14600,15.7009,12.0
14700,15.6532,12.0
14800,15.6808,12.0
14900,15.7564,12.0
15000,15.8856,12.0
15100,16.0508,12.0
15200,15.8548,12.0
15300,15.9182,12.0
15400,15.9737,12.0
15500,15.8569,12.0
15600,15.8486,12.0
15700,15.8142,12.0
15800,15.6753,12.0
15900,15.7206,12.0
16000,15.8031,12.0
16100,15.7658,12.0
16200,15.8295,12.0
16300,15.9747,12.0
16400,15.8612,12.0
16500,15.8573,12.0
16600,15.9067,12.0
16700,15.7634,12.0
16800,15.7712,12.0
16900,15.8128,12.0
17000,15.7415,12.0
17100,15.7510,12.0
17200,15.8232,12.0
17300,15.7825,12.0
17400,15.7678,12.0
17500,15.7592,12.0
17600,15.7442,12.0
17700,15.7724,12.0
17800,15.6944,12.0
17900,15.7197,12.0
18000,15.6713,12.0
18100,15.6733,12.0
18200,15.6690,12.0
18300,15.7000,12.0
18400,15.6163,12.0
18500,15.5612,12.0
18600,15.6183,12.0
18700,15.7210,12.0
18800,15.6944,12.0
18900,15.8976,12.0
19000,15.9535,12.0
19100,15.9535,12.0
19200,15.9360,12.0
19300,15.9554,12.0
19400,16.0574,12.0
19500,16.0237,12.0
19600,15.7989,12.0
19700,15.6827,12.0
19800,15.6278,12.0
19900,15.6200,12.0
20000,15.7012,12.0
