epoch,mean_ops,median_ops
0,2.5051,2.0
100,6.4278,2.0
200,13.3789,5.0
300,22.6998,12.0
400,27.2586,19.0
500,26.1157,20.0
600,23.3817,19.0
700,20.8425,16.0
800,18.9442,15.0
900,17.8117,14.0
1000,17.2402,13.0
1100,16.5877,13.0
1200,16.2456,12.0
1300,16.0271,12.0
1400,15.8652,12.0
1500,15.7467,12.0
1600,15.5932,12.0
1700,15.6590,12.0
1800,15.6125,12.0
1900,15.5670,12.0
2000,15.6212,12.0
2100,15.6766,12.0
2200,15.5749,12.0
2300,15.6062,12.0
2400,15.5084,12.0
2500,15.5367,12.0
2600,15.5285,12.0
2700,15.6066,12.0
2800,15.7504,12.0
2900,15.8254,12.0
3000,15.7359,12.0
3100,15.8797,12.0
3200,15.8167,12.0
3300,15.8461,12.0
3400,15.7729,12.0
3500,15.8129,12.0
3600,15.8140,12.0
3700,15.8743,12.0
3800,15.4873,12.0
3900,15.4110,12.0
4000,15.5187,12.0
4100,15.4593,12.0
4200,15.5168,12.0
4300,15.4744,12.0
4400,15.5632,12.0
4500,15.7950,12.0
4600,15.8906,12.0
4700,15.7024,12.0
4800,15.6546,12.0
4900,15.4913,12.0
5000,15.5911,12.0
