epoch     	mean_ops    	median_ops
0         	2.5058      	2.0
100       	6.3247      	2.0
200       	12.4429     	5.0
300       	19.1148     	10.0
400       	21.7563     	14.0
500       	21.3309     	15.0
600       	20.0757     	15.0
700       	18.8426     	14.0
800       	17.9389     	13.0
900       	17.0411     	13.0
1000      	16.4313     	12.0
1100      	16.0661     	12.0
1200      	15.8569     	12.0
1300      	15.7218     	12.0
1400      	15.6669     	12.0
1500      	15.5435     	12.0
1600      	15.6407     	12.0
1700      	15.6120     	12.0
1800      	15.6191     	12.0
1900      	15.7147     	12.0
2000      	15.7928     	12.0
2100      	15.6377     	12.0
2200      	15.7324     	12.0
2300      	15.6457     	12.0
2400      	15.6669     	12.0
2500      	15.6243     	12.0
2600      	15.6784     	12.0
2700      	15.8093     	12.0
2800      	15.8157     	12.0
2900      	15.6831     	12.0
3000      	15.5831     	12.0
3100      	15.6062     	12.0
3200      	15.7020     	12.0
3300      	15.5265     	12.0
3400      	15.4532     	12.0
3500      	15.5135     	12.0
3600      	15.5957     	12.0
3700      	15.6733     	12.0
3800      	15.6005     	12.0
3900      	15.5833     	12.0
4000      	15.5954     	12.0
4100      	15.6706     	12.0
4200      	15.6434     	12.0
4300      	15.7547     	12.0
4400      	15.6064     	12.0
4500      	15.7287     	12.0
4600      	15.7223     	12.0
4700      	15.7226     	12.0
4800      	15.6809     	12.0
4900      	15.6850     	12.0
5000      	15.9945     	12.0
