BFF soup: 131072 tapes x 64 bytes, 3000 epochs, 8 threads, stats every 100, mutation rate 1e-06
Seed: 4326653731340383987
epoch     	mean_ops    	median_ops
0         	1.7551      	2.0
100       	53.6025     	64.0
200       	53.4658     	64.0
300       	53.3447     	64.0
400       	53.0380     	64.0
500       	52.6152     	64.0
600       	52.6787     	64.0
700       	53.0371     	64.0
800       	52.6562     	64.0
900       	53.3232     	64.0
1000      	52.6542     	64.0
1100      	52.2617     	64.0
1200      	51.9726     	64.0
1300      	52.5390     	64.0
1400      	53.2343     	64.0
1500      	54.8378     	64.0
1600      	55.1006     	64.0
1700      	55.1230     	64.0
1800      	54.6025     	64.0
1900      	55.2334     	64.0
2000      	54.5009     	64.0
2100      	54.1464     	64.0
2200      	54.0791     	64.0
2300      	52.9892     	64.0
2400      	52.5615     	64.0
2500      	53.1220     	64.0
2600      	53.6396     	64.0
2700      	53.5224     	64.0
2800      	53.9209     	64.0
2900      	54.2099     	64.0
3000      	54.8515     	64.0
