epoch     	mean_ops    	median_ops
0         	2.5058      	2.0
100       	6.3170      	2.0
200       	12.7586     	5.0
300       	19.7053     	10.0
400       	22.9794     	15.0
500       	22.7841     	16.0
600       	21.0145     	16.0
700       	19.3782     	15.0
800       	18.2351     	14.0
900       	17.2921     	13.0
1000      	16.5259     	13.0
1100      	16.1166     	12.0
1200      	15.8158     	12.0
1300      	15.8077     	12.0
1400      	15.7414     	12.0
1500      	15.5614     	12.0
1600      	15.5021     	12.0
1700      	15.5284     	12.0
1800      	15.5409     	12.0
1900      	15.6027     	12.0
2000      	15.5673     	12.0
2100      	15.6487     	12.0
2200      	15.6081     	12.0
2300      	15.6078     	12.0
2400      	15.6515     	12.0
2500      	15.5985     	12.0
2600      	15.6386     	12.0
2700      	15.7361     	12.0
2800      	15.6619     	12.0
2900      	15.6324     	12.0
3000      	15.6110     	12.0
3100      	15.4931     	12.0
3200      	15.5487     	12.0
3300      	15.6532     	12.0
3400      	15.5198     	12.0
3500      	15.5280     	12.0
3600      	15.4666     	12.0
3700      	15.6316     	12.0
3800      	15.6074     	12.0
3900      	15.5381     	12.0
4000      	15.4854     	12.0
4100      	15.6901     	12.0
4200      	15.6814     	12.0
4300      	15.7151     	12.0
4400      	15.7528     	12.0
4500      	15.6804     	12.0
4600      	15.4555     	12.0
4700      	15.4428     	12.0
4800      	15.5917     	12.0
4900      	15.6997     	12.0
5000      	15.7506     	12.0
