epoch     	mean_ops    	median_ops  	unique_ids  	modal_id  	representative_tape (modal_count)
0         	2.5058      	2.0         	8388608     	0         	|                {                                    <          | (1)
10        	3.4696      	2.0         	5366236     	2537115   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>  >>> >>>>>>>>>>>>>>>>>>>>>>>>| (311)
20        	3.7945      	2.0         	4524130     	8216203   	|,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (502)
30        	4.0598      	2.0         	4060142     	1042373   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (544)
40        	4.3368      	2.0         	3728181     	8216203   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (758)
50        	4.6003      	2.0         	3466544     	5500530   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,| (844)
60        	4.8745      	2.0         	3243212     	5500530   	|-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (942)
70        	5.1664      	2.0         	3042657     	8216203   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (1297)
80        	5.5419      	2.0         	2860868     	731437    	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (1533)
90        	5.9199      	2.0         	2691830     	2157421   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (1630)
100       	6.3170      	2.0         	2531481     	3332842   	|........................................ .......................| (1707)
110       	6.7471      	2.0         	2382084     	1162114   	|................................................................| (1897)
120       	7.2572      	2.0         	2243744     	2157421   	|<  <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (2233)
130       	7.7843      	3.0         	2113441     	8094705   	|................................................................| (2694)
140       	8.3617      	3.0         	1989001     	8094705   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (2886)
150       	8.9843      	3.0         	1869521     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (3327)
160       	9.6667      	3.0         	1760221     	4458405   	|................................................................| (4511)
170       	10.4061     	4.0         	1655626     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (4999)
180       	11.1647     	4.0         	1557542     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (5427)
190       	11.9260     	4.0         	1466348     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (5645)
200       	12.7586     	5.0         	1380548     	3332842   	|................................................................| (6595)
210       	13.5382     	5.0         	1300770     	3332842   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (6952)
220       	14.3356     	6.0         	1224199     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (7154)
230       	15.0999     	6.0         	1152671     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (8258)
240       	15.8999     	7.0         	1087303     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (7927)
250       	16.6319     	7.0         	1024890     	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (8709)
260       	17.3514     	8.0         	966735      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (8386)
270       	18.0305     	8.0         	911593      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (8334)
280       	18.6723     	9.0         	860798      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (9246)
290       	19.1362     	9.0         	812912      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (9490)
300       	19.7053     	10.0        	767807      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (9582)
310       	20.2396     	11.0        	725734      	8094705   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (10043)
320       	20.6961     	11.0        	684878      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (11324)
330       	21.1084     	12.0        	646596      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (11637)
340       	21.5179     	12.0        	610536      	4458405   	|<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (11802)
350       	21.8672     	13.0        	577478      	4458405   	| <<< <<<<< <<<<< <<<<<<< <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< | (11698)
360       	22.1664     	13.0        	546724      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (12158)
370       	22.4243     	14.0        	518242      	5228183   	|<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (12690)
380       	22.6665     	14.0        	490740      	5228183   	|<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (12801)
390       	22.8776     	15.0        	465315      	5228183   	|                                                                | (12728)
400       	22.9794     	15.0        	441285      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (13109)
410       	23.1479     	15.0        	418673      	4458405   	|,,,,,,,                                                         | (13638)
420       	23.1801     	15.0        	397961      	4458405   	|,,,,,,,                                                         | (14512)
430       	23.2296     	16.0        	378645      	4458405   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (14949)
440       	23.2458     	16.0        	360188      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (14494)
450       	23.2375     	16.0        	342554      	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (15647)
460       	23.1872     	16.0        	326426      	6873437   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (16972)
470       	23.0980     	16.0        	311095      	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,| (17258)
480       	23.0631     	16.0        	296783      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (17449)
490       	22.8860     	16.0        	283514      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (18565)
500       	22.7841     	16.0        	270561      	4458405   	|,,,,,,,,,,..............,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (18356)
510       	22.5903     	16.0        	258766      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (18395)
520       	22.4404     	16.0        	247823      	4458405   	|-,,                                                  -----------| (18600)
530       	22.2618     	16.0        	237268      	4458405   	|...............                                                .| (18588)
540       	22.1244     	16.0        	227048      	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (18608)
550       	21.9408     	16.0        	217808      	6873437   	|,,,,,,,,,,,,,,,,, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (19966)
560       	21.6562     	16.0        	209098      	6873437   	|<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (20177)
570       	21.4663     	16.0        	200697      	6873437   	|<<  <         <       <     < <<       <<             <     <<<<| (19778)
580       	21.3601     	16.0        	192585      	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (20439)
590       	21.2125     	16.0        	185211      	4458405   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (20976)
600       	21.0145     	16.0        	178286      	4458405   	|                                                                | (21200)
610       	20.8544     	16.0        	171637      	4458405   	|                                                                | (21138)
620       	20.7379     	16.0        	165607      	3957573   	|   > >   <>>  < >  <> >>> >> >>>>><<> <>><><> <>><><<> >>><<  >>| (21616)
630       	20.4746     	16.0        	159767      	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (21837)
640       	20.3350     	15.0        	154212      	3957573   	|                                                                | (21966)
650       	20.1474     	15.0        	148991      	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (22333)
660       	19.9876     	15.0        	143968      	4458405   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>><>>>>>> >>>>>>>>>>>>>>>>>>>>>>>>| (21890)
670       	19.8052     	15.0        	139255      	4458405   	|                                                           .....| (22877)
680       	19.6456     	15.0        	134769      	3957573   	|                                                                | (22792)
690       	19.4629     	15.0        	130496      	3957573   	|                                                                | (22768)
700       	19.3782     	15.0        	126563      	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (23189)
710       	19.2552     	15.0        	122581      	3957573   	|                                                                | (23572)
720       	19.1616     	15.0        	118853      	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (23750)
730       	19.0533     	15.0        	115290      	3957573   	|                                                                | (24651)
740       	18.9338     	14.0        	111920      	3957573   	|<   <<  <  < << < < <<<<<<   <   <<  < <      < <<<   << <<<< <<| (25092)
750       	18.8142     	14.0        	108535      	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (24945)
