epoch     	mean_ops    	median_ops  	unique_ids  	modal_id  	representative_tape (modal_count)
0         	1.7551      	2.0         	8388608     	0         	|                                                     <          | (1)
1         	4.5214      	1.0         	6990534     	157       	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (128)
2         	7.3195      	1.0         	6134693     	157       	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (256)
3         	10.6135     	2.0         	5391082     	29243     	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (512)
4         	14.7272     	2.0         	4633372     	3819444   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (1024)
5         	19.7311     	2.0         	3836127     	1508655   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (1664)
6         	25.6635     	3.0         	2998417     	4946800   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (2560)
7         	31.9855     	6.0         	2182520     	1508655   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (3519)
8         	37.8838     	64.0        	1482885     	1508655   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (5248)
9         	42.9630     	64.0        	941968      	1508655   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (5246)
10        	46.6107     	64.0        	583176      	4447852   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (5888)
11        	49.1153     	64.0        	357883      	1266017   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (6243)
12        	50.5048     	64.0        	222501      	6598466   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (7360)
13        	51.3584     	64.0        	135899      	6170670   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (7167)
14        	51.9996     	64.0        	83495       	1266017   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (8448)
15        	52.4214     	64.0        	53486       	1266017   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (9280)
16        	52.6307     	64.0        	35649       	1266017   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (10685)
17        	52.7098     	64.0        	24224       	1266017   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (10048)
18        	52.7073     	64.0        	17381       	1266017   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (9087)
19        	52.6622     	64.0        	13473       	1266017   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (9599)
20        	52.6813     	64.0        	11204       	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (9599)
21        	52.6864     	64.0        	10056       	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (10816)
22        	52.7725     	64.0        	8847        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (11199)
23        	52.8705     	64.0        	8224        	7059070   	|                                                                | (11520)
24        	52.7383     	64.0        	7900        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (10175)
25        	52.6652     	64.0        	7540        	6170670   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (11008)
26        	52.5829     	64.0        	7331        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (11200)
27        	52.4966     	64.0        	7141        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (12416)
28        	52.5656     	64.0        	6923        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (13887)
29        	52.6007     	64.0        	6706        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (15228)
30        	52.5274     	64.0        	6584        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (14847)
31        	52.5740     	64.0        	6427        	7059070   	|                                                                | (15616)
32        	52.5795     	64.0        	6318        	7059070   	|                                                                | (15934)
33        	52.5979     	64.0        	6213        	7059070   	|                                                                | (16766)
34        	52.6708     	64.0        	6100        	7059070   	|                                                                | (14974)
35        	52.5476     	64.0        	5965        	7059070   	|                                                                | (15230)
36        	52.6687     	64.0        	5907        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (14783)
37        	52.6170     	64.0        	5798        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (14910)
38        	52.6472     	64.0        	5722        	6170670   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (14974)
39        	52.7188     	64.0        	5695        	7059070   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (15038)
